customer_id,age,annual_income,spending_score,days_since_last_purchase,credit_score,signup_date,region_Central,region_East,region_North,region_South,region_West
1,37.0,86839.316,18.8,0.1,585.0,2023-08-02,True,False,False,False,False
2,33.0,25267.36,17.0,55.1,621.0,2020-08-16,False,False,False,True,False
3,42.0,57933.53999999999,51.1,148.6,538.0,2020-02-21,False,False,False,True,False
4,41.2,27887.33,31.9,42.6,641.0,2024-02-27,False,False,False,True,False
5,35.2,42790.112,38.4,0.2,625.0,2021-07-17,False,False,True,False,False
6,32.0,64526.770000000004,8.5,14.8,665.0,2021-05-16,False,True,False,False,False
7,53.0,84017.98,46.1,153.4,663.0,2021-04-02,False,False,False,False,True
8,41.6,62460.948,32.6,1.0,727.0,2020-10-12,False,True,False,False,False
9,29.2,38004.708,6.1,30.1,654.4,2024-02-17,False,True,False,False,False
10,35.8,62023.81999999999,40.1,93.6,583.0,2020-07-28,False,False,True,False,False
11,29.0,55832.55,24.5,109.2,585.0,2023-10-17,True,False,False,False,False
12,29.0,65305.94,30.3,39.0,597.0,2024-02-25,True,False,False,False,False
13,34.2,60047.384,14.1,15.9,673.0,2023-01-21,False,False,True,False,False
14,18.0,30027.03,31.1,54.9,686.6,2020-06-27,False,False,True,False,False
15,18.0,56948.221999999994,4.1,18.4,574.0,2023-04-24,False,False,True,False,False
16,33.4,91019.178,9.7,17.7,654.0,2022-05-14,False,True,False,False,False
17,34.8,32025.054000000004,51.8,98.9,746.0,2020-03-06,False,False,True,False,False
18,38.0,40293.848,24.2,10.1,579.0,2020-03-02,False,False,False,False,True
19,24.0,35408.96,19.1,0.3,678.0,2020-07-10,False,False,False,True,False
20,37.8,27332.244000000006,30.5,24.6,633.0,2021-03-23,True,False,False,False,False
21,52.0,64244.522,36.5,40.5,690.0,2021-04-21,False,False,False,False,True
22,32.0,45672.414000000004,26.1,73.3,655.0,2022-10-31,True,False,False,False,False
23,36.4,17879.414,69.4,91.2,652.0,2023-05-17,False,True,False,False,False
24,18.0,10101.95,33.7,65.4,850.0,2020-02-24,False,True,False,False,False
25,28.0,224508.58,24.7,59.1,850.0,2023-02-23,False,False,True,False,False
26,36.0,42981.096000000005,2.8,65.8,629.0,2021-02-11,True,False,False,False,False
27,21.0,15905.61,14.4,19.0,577.0,2024-01-06,False,True,False,False,False
28,34.6,27198.476000000002,27.339999999999996,28.9,669.0,2023-08-23,False,True,False,False,False
29,39.6,38406.75,4.5,57.5,698.0,2023-12-07,True,False,False,False,False
30,41.6,65120.721999999994,36.1,4.1,756.0,2023-01-21,False,True,False,False,False
31,27.0,51421.886,8.4,21.0,470.0,2022-05-09,False,False,True,False,False
32,57.0,39868.368,21.2,31.3,617.0,2021-03-27,False,True,False,False,False
33,34.0,49363.219999999994,24.8,45.7,609.0,2022-07-08,False,False,False,False,True
34,28.8,50092.32,58.0,40.0,585.0,2023-04-21,False,False,False,False,True
35,44.0,97932.066,72.1,76.0,530.0,2021-07-23,False,False,True,False,False
36,39.6,56997.34199999999,43.4,38.5,632.0,2024-07-15,False,False,False,False,True
37,36.6,35188.612,24.64,140.7,706.0,2024-11-15,False,True,False,False,False
38,37.2,90391.97400000002,24.3,28.7,550.0,2020-01-14,False,False,False,False,True
39,25.4,52169.977999999996,22.34,44.7,657.0,2024-04-03,False,False,False,False,True
40,37.0,49342.18,20.8,0.2,684.0,2024-07-08,False,True,False,False,False
41,43.0,50021.966,20.3,22.3,781.0,2020-11-22,True,False,False,False,False
42,29.2,72212.67199999999,14.0,120.9,701.0,2023-11-30,False,False,True,False,False
43,33.0,24311.028,37.0,24.3,643.0,2022-05-15,True,False,False,False,False
44,32.8,42594.066000000006,41.6,17.5,675.0,2021-11-27,True,False,False,False,False
45,38.6,34017.373999999996,14.9,47.1,711.0,2021-07-23,False,False,False,False,False
46,35.6,56965.078,15.9,4.9,660.0,2020-11-14,False,False,False,True,False
47,29.0,61293.74199999999,48.2,45.5,713.0,2021-03-16,True,False,False,False,False
48,47.0,62573.906,14.0,21.7,623.0,2024-04-12,False,True,False,False,False
49,39.0,75195.80799999999,18.139999999999997,29.0,746.0,2021-11-20,False,True,False,False,False
50,32.6,62195.50600000001,51.8,94.0,609.0,2020-07-28,False,True,False,False,False
51,38.0,34285.944,10.7,65.1,595.0,2020-07-08,False,False,False,True,False
52,30.0,42576.152,23.3,35.4,613.0,2022-02-17,False,False,False,True,False
53,31.0,47730.61,17.5,51.7,572.0,2020-07-17,False,False,True,False,False
54,42.0,29229.92,22.0,87.4,710.0,2022-01-05,False,False,False,True,False
55,27.2,47890.691999999995,28.7,82.2,524.0,2024-10-01,False,False,True,False,False
56,46.0,43022.25,17.7,12.3,615.0,2021-12-05,False,True,False,False,False
57,33.4,99876.476,33.5,21.5,676.0,2023-05-21,False,False,False,True,False
58,36.0,36885.23,37.8,25.7,651.0,2021-06-25,False,False,False,False,True
59,32.4,55130.36,77.6,12.5,647.0,2024-07-10,False,False,False,False,True
60,29.6,25871.26,48.5,0.7,629.6,2020-03-29,False,False,False,False,True
61,29.0,71546.194,36.0,11.5,663.0,2024-02-03,False,False,False,True,False
62,32.0,97848.486,25.6,99.1,570.0,2022-07-29,False,False,False,True,False
